ชื่อไฟล์,ชื่อคอลัมน์,ความหมาย,ชนิดข้อมูล,หน่วย,วิธีคำนวณหรือที่มา
data_dictionary.csv,ชนิดข้อมูล,ชนิดข้อมูลที่ควรใช้เมื่อนำเข้า,ข้อความ,-,เขียนขึ้นในชุดข้อมูลนี้
data_dictionary.csv,หน่วย,หน่วยของค่าในคอลัมน์,ข้อความ,-,เขียนขึ้นในชุดข้อมูลนี้
data_dictionary.csv,วิธีคำนวณหรือที่มา,ที่มาหรือสูตรที่ใช้ได้ค่านั้น,ข้อความ,-,เขียนขึ้นในชุดข้อมูลนี้
data_quality_checks.csv,รหัสการตรวจ,รหัสอ้างอิงของการตรวจสอบ,ข้อความ,-,กำหนดในชุดข้อมูลนี้
data_quality_checks.csv,ไฟล์หรือขอบเขต,ไฟล์หรือขอบเขตที่การตรวจนั้นครอบคลุม,ข้อความ,-,กำหนดในชุดข้อมูลนี้
data_quality_checks.csv,รายการที่ตรวจ,สิ่งที่ถูกตรวจในรายการนั้น,ข้อความ,-,กำหนดในชุดข้อมูลนี้
data_quality_checks.csv,ประเด็นตรวจสอบ,คำถามหรือกฎที่ใช้ตรวจ,ข้อความ,-,กำหนดในชุดข้อมูลนี้
data_quality_checks.csv,ค่าต้นฉบับหรือจำนวนที่พบ,ค่าที่พบในต้นฉบับหรือจำนวนแถวที่เกี่ยวข้อง,ข้อความ,-,คำนวณตอนตรวจ
data_quality_checks.csv,ผลต่างหรือการจัดการ,ผลต่างที่วัดได้หรือวิธีจัดการ,ข้อความ,-,คำนวณตอนตรวจ
data_quality_checks.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
data_quality_checks.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทางที่ใช้ตรวจย้อนกลับ,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
data_quality_checks.csv,สถานะ,สถานะการตรวจสอบของประเด็นนั้น,ข้อความ,-,กำหนดตอนจัดทำชุดข้อมูล
data_quality_checks.csv,หมายเหตุ,คำอธิบายเพิ่มเติมและข้อควรระวัง,ข้อความ,-,เขียนขึ้นในชุดข้อมูลนี้
organization_units.csv,ประเภทรหัส,หน่วยงาน พื้นที่ หรือ ศูนย์ต้นทุน,ข้อความ,-,จากชนิดบรรทัดสรุปในรายงาน
organization_units.csv,รหัส,รหัสของหน่วยตามประเภทรหัส,ข้อความ,-,บรรทัดสรุปในรายงาน
organization_units.csv,ชื่อหน่วยงาน,ชื่อของหน่วยตามประเภทรหัส,ข้อความ,-,บรรทัดสรุปในรายงาน
organization_units.csv,รหัสหน่วยเหนือ,รหัสของหน่วยที่อยู่เหนือขึ้นไปหนึ่งชั้น,ข้อความ,-,จากลำดับชั้นในรายงาน
organization_units.csv,ชื่อหน่วยเหนือ,ชื่อของหน่วยที่อยู่เหนือขึ้นไปหนึ่งชั้น,ข้อความ,-,จากลำดับชั้นในรายงาน
organization_units.csv,จำนวนรายการย่อยสินทรัพย์,จำนวนบรรทัดในทะเบียนของหน่วยนั้น,จำนวนเต็ม,รายการ,นับแถวใน asset_register_2567
organization_units.csv,จำนวนรหัสสินทรัพย์,จำนวนรหัสสินทรัพย์ที่ไม่ซ้ำ,จำนวนเต็ม,รหัส,นับค่าไม่ซ้ำของรหัสสินทรัพย์
organization_units.csv,มูลค่าการได้มา,ราคาที่ได้มาตามบัญชี,ตัวเลข,บาท,คอลัมน์มูลค่าการได้มา
organization_units.csv,ค่าเสื่อมราคาสะสม,ค่าเสื่อมราคาสะสม เก็บเครื่องหมายลบตามต้นฉบับ,ตัวเลข,บาท,คอลัมน์ค่าเสื่อมราคาสะสม
organization_units.csv,มูลค่าตามบัญชี,มูลค่าคงเหลือตามบัญชี,ตัวเลข,บาท,ตรวจแล้วเท่ากับ มูลค่าการได้มา บวก ค่าเสื่อมราคาสะสม
organization_units.csv,ความสัมพันธ์ที่ตรวจสอบได้,ความสัมพันธ์ที่ยืนยันได้จากเอกสารเท่านั้น,ข้อความ,-,ตรวจจากการจับคู่รหัสในรายงาน
organization_units.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
organization_units.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
organization_units.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทางที่ใช้ตรวจย้อนกลับ,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
project_year_mapping.csv,รหัสกลาง,รหัสที่ใช้เชื่อมรายการเดียวกันข้ามปี,ข้อความ,-,สร้างจากกลุ่มชื่อที่ปรับรูปแล้ว
project_year_mapping.csv,ชื่อมาตรฐาน,ชื่อที่เลือกเป็นตัวแทนของกลุ่ม,ข้อความ,-,ชื่อจากปีล่าสุดในกลุ่ม
project_year_mapping.csv,ชื่อรายการเดิมตามเอกสาร,ชื่อรายการตามที่พิมพ์ในปีนั้น,ข้อความ,-,จาก budget_items
project_year_mapping.csv,ปีงบประมาณ,ปีงบประมาณไทย,ข้อความ,พ.ศ.,จากหัวรายงานและชื่อไฟล์
project_year_mapping.csv,จำนวนปีที่พบ,จำนวนปีที่พบรายการในกลุ่มเดียวกัน,จำนวนเต็ม,ปี,นับปีในกลุ่มรหัสกลาง
project_year_mapping.csv,ปีที่พบทั้งหมด,รายชื่อปีที่พบรายการในกลุ่มเดียวกัน,ข้อความ,พ.ศ.,รวมปีในกลุ่มรหัสกลาง
project_year_mapping.csv,วิธีจับคู่,เกณฑ์ที่ใช้รวมรายการเข้าเป็นรหัสกลางเดียวกัน,ข้อความ,-,ตัดเลขลำดับ ช่องว่าง เครื่องหมายวรรคตอน และเลขปี แล้วเทียบให้ตรงทุกตัวอักษร
project_year_mapping.csv,สถานะตรวจสอบการจับคู่,ระดับความเชื่อมั่นของการจับคู่ข้ามปี,ข้อความ,-,ชื่อตรงกันจับคู่อัตโนมัติ ส่วนชื่อคล้ายกันแจ้งไว้ให้ตรวจเท่านั้น
project_year_mapping.csv,รหัสกลางที่อาจเป็นรายการเดียวกัน,รหัสกลางของรายการชื่อคล้ายกันที่พบในปีอื่น ยังไม่ถือว่าเป็นรายการเดียวกัน,ข้อความ,-,ความคล้ายตั้งแต่ร้อยละ 93 และไม่ปรากฏในปีเดียวกัน
project_year_mapping.csv,ชื่อที่อาจเป็นรายการเดียวกัน,ชื่อของรายการที่คล้ายกันนั้น,ข้อความ,-,จากรหัสกลางที่อาจเป็นรายการเดียวกัน
project_year_mapping.csv,ค่าความคล้าย_ร้อยละ,ระดับความคล้ายของชื่อสองรายการ,ตัวเลข,ร้อยละ,อัตราส่วนความคล้ายของข้อความหลังปรับรูป
project_year_mapping.csv,ปีของรายการที่อาจเป็นรายการเดียวกัน,ปีที่พบรายการชื่อคล้ายกันนั้น,ข้อความ,พ.ศ.,จากรหัสกลางที่อาจเป็นรายการเดียวกัน
project_year_mapping.csv,จัดสรร,งบที่ได้รับจัดสรร,ตัวเลข,บาท,คอลัมน์ที่ 1 ของตาราง
project_year_mapping.csv,รวมเบิกจ่ายและผูกพัน,ยอดเบิกจ่ายรวมภาระผูกพัน,ตัวเลข,บาท,คอลัมน์ที่ 2 ของตาราง
project_year_mapping.csv,รหัสแถวใน_budget_items,รหัสแถวที่อ้างถึงใน budget_items.csv,ข้อความ,-,คีย์เชื่อมไฟล์
project_year_mapping.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
project_year_mapping.csv,ไฟล์ต้นทาง,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
project_year_mapping.csv,หน้าอ้างอิง,เลขหน้าใน PDF ต้นทางที่ใช้ตรวจย้อนกลับ,จำนวนเต็ม,หน้า,จากลำดับหน้าที่สกัด
source_documents.csv,รหัสเอกสาร,รหัสเอกสารต้นทางตาม source_documents.csv,ข้อความ,-,กำหนดในชุดข้อมูลนี้
source_documents.csv,ชื่อไฟล์,ชื่อไฟล์ PDF ต้นทาง,ข้อความ,-,ชื่อไฟล์จริงในโฟลเดอร์ต้นทาง
source_documents.csv,ประเภทเอกสาร,ชนิดของรายงาน,ข้อความ,-,กำหนดจากหัวรายงาน
source_documents.csv,กลุ่มข้อมูล,รายจ่าย หรือ สินทรัพย์,ข้อความ,-,กำหนดในชุดข้อมูลนี้
source_documents.csv,ปีงบประมาณ,ปีงบประมาณไทย,ข้อความ,พ.ศ.,จากหัวรายงานและชื่อไฟล์
source_documents.csv,ปีคริสต์ศักราช,ปีเดียวกันในคริสต์ศักราช,จำนวนเต็ม,ค.ศ.,ปีพุทธศักราช ลบ 543
source_documents.csv,วันที่ยอดข้อมูล,วันที่ที่ยอดในเอกสารสะท้อน,วันที่,ปี-เดือน-วัน (พ.ศ.),จากหัวรายงาน
source_documents.csv,วันที่ยอดข้อมูล_ไทย,วันที่ยอดข้อมูลตามรูปแบบที่พิมพ์,ข้อความ,-,จากหัวรายงาน
source_documents.csv,วันที่ออกรายงาน,วันที่สั่งพิมพ์รายงาน,วันที่,ปี-เดือน-วัน (พ.ศ.),จากบรรทัด Report date
source_documents.csv,จำนวนหน้า,จำนวนหน้าของ PDF,จำนวนเต็ม,หน้า,นับจากไฟล์ต้นทาง
source_documents.csv,หัวเรื่องในเอกสาร,ข้อความหัวเรื่องที่พิมพ์ในเอกสาร,ข้อความ,-,จากหน้าแรกของเอกสาร
source_documents.csv,จำนวนแถวที่สกัดได้,จำนวนแถวข้อมูลที่อ่านได้จากเอกสารนั้น,จำนวนเต็ม,แถว,นับจากผลการสกัด
source_documents.csv,วิธีการสกัดข้อมูล,วิธีที่ใช้อ่านข้อมูลออกจาก PDF,ข้อความ,-,บันทึกไว้เพื่อทำซ้ำได้
manual_merge.csv,รหัสกลาง_ก,รหัสกลางฝั่งแรกของคู่ที่ต้องตัดสิน,ข้อความ,,คัดจาก project_year_mapping.csv เฉพาะรายการที่ติดธงว่ามีชื่อใกล้กันในปีอื่น
manual_merge.csv,ชื่อ_ก,ชื่อมาตรฐานของฝั่งแรก,ข้อความ,,project_year_mapping.csv คอลัมน์ ชื่อมาตรฐาน
manual_merge.csv,ปีที่พบ_ก,ปีงบประมาณที่พบฝั่งแรก คั่นด้วย |,ข้อความ,พ.ศ.,รวมจากทุกแถวของรหัสกลางนั้น
manual_merge.csv,รหัสกลาง_ข,รหัสกลางฝั่งที่สองของคู่,ข้อความ,,เช่นเดียวกับฝั่งแรก
manual_merge.csv,ชื่อ_ข,ชื่อมาตรฐานของฝั่งที่สอง,ข้อความ,,project_year_mapping.csv คอลัมน์ ชื่อมาตรฐาน
manual_merge.csv,ปีที่พบ_ข,ปีงบประมาณที่พบฝั่งที่สอง คั่นด้วย |,ข้อความ,พ.ศ.,รวมจากทุกแถวของรหัสกลางนั้น
manual_merge.csv,ค่าความคล้าย_ร้อยละ,ความเหมือนของชื่อสองฝั่ง,ทศนิยม,ร้อยละ,project_year_mapping.csv คอลัมน์ ค่าความคล้าย_ร้อยละ
manual_merge.csv,ความต่างของชื่อ,สรุปว่าชื่อสองอันต่างกันตรงไหน,ข้อความ,,คำนวณด้วย difflib ใน build_merge_candidates.py ไว้ให้คนอ่านตัดสินเร็วขึ้น
manual_merge.csv,การตัดสิน,คำตัดสินของคน: รวม หรือ ไม่รวม เว้นว่างคือยังไม่ตัดสิน,ข้อความ,,คนกรอกเอง สคริปต์ไม่เติมให้
manual_merge.csv,ชื่อที่ใช้หลังรวม,ชื่อที่ต้องการให้แสดงเมื่อรวมแล้ว เว้นว่างจะใช้ชื่อฝั่งแรก,ข้อความ,,คนกรอกเอง
manual_merge.csv,ผู้ตัดสิน,ชื่อผู้ตัดสิน ต้องมีค่า build จึงจะยอมรวมให้,ข้อความ,,คนกรอกเอง
manual_merge.csv,วันที่ตัดสิน,วันที่ตัดสิน,ข้อความ,ปปปป-ดด-วว,คนกรอกเอง
manual_merge.csv,เหตุผล,เหตุผลประกอบคำตัดสิน,ข้อความ,,คนกรอกเอง
